Name,Demo,AdRate,L7,L7Bump,Viewers,Price,PriceRank,L7BumpRank
The Blacklist,1.42608695652174,136730,2.8,1,6.82817391304348,95877.743902439,6,1
Quantico,1.23181818181818,102430,2.6,1,4.34359090909091,83153.5055350555,15,2
How to Get Away with Murder,1.87333333333333,215055,3.5,0.842105263,6.24933333333333,114798.042704627,1,3
Agents of SHIELD,1.17272727272727,102254,2.2,0.833333333,3.43486363636364,87193.3333333335,12,4
Blindspot,1.82608695652174,120086,3.3,0.833333333,6.92265217391304,65761.3809523809,41,5
Scream Queens,1.1,121438,2,0.818181818,2.78853846153846,110398.181818182,2,6
Elementary,0.958333333333333,63525,1.8,0.8,5.73845833333333,66286.9565217392,38,7
Scandal,2.04761904761905,177213,3.5,0.75,7.1767619047619,86545.8837209301,13,8
Jane the Virgin,0.368181818181818,25495,0.7,0.75,0.9545,69245.6790123457,28,9
Sleepy Hollow,0.822222222222222,56860,1.4,0.75,3.06477777777778,69154.0540540541,29,10
Legends of Tomorrow,0.8,39020,1.4,0.75,2.1669375,48775,57,11
Lucifer,1.46923076923077,111063,2.6,0.733333333,4.56246153846154,75592.6178010471,20,12
Chicago PD,1.55217391304348,115619,2.6,0.733333333,6.88047826086957,74488.4313725489,23,13
Grey's Anatomy,2.22083333333333,219152,3.8,0.727272727,8.04133333333333,98680.0750469045,4,14
Gotham,1.4,122680,2.4,0.714285714,4.09054545454546,87628.5714285714,10,15
Supernatural,0.708695652173913,32373,1.2,0.714285714,1.77491304347826,45679.6932515338,59,16
Bones,0.986363636363636,96459,1.7,0.7,4.86754545454545,97792.534562212,5,17
Modern Family,2.55454545454545,208938,4.4,0.692307692,7.91795454545455,81790.6761565838,16,18
Law and Order: SVU,1.61304347826087,102406,2.7,0.6875,6.8944347826087,63486.1994609164,44,19
Criminal Minds,1.78636363636364,107265,3,0.666666667,9.01104545454545,60046.5648854961,48,20
Blue Bloods,1.24090909090909,72211,2,0.666666667,10.5164545454545,58192.0146520147,49,21
Arrow,0.939130434782609,44941,1.5,0.666666667,2.48939130434783,47853.8425925926,58,22
Once Upon a Time,1.36521739130435,110710,2.3,0.642857143,4.39673913043478,81093.3121019107,17,23
Hawaii Five-0,1.132,69911,1.8,0.636363636,8.7122,61758.8339222615,47,24
New Girl,1.11363636363636,102329,1.9,0.583333333,2.51659090909091,91887.2653061227,7,25
